location,indicator,subject,measure,frequency,time,value
NZL,MEATCONSUMP,SHEEP,THND_TONNE,A,2005,94.8756256417403
GBR,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,1710.3245205506
UKR,MEATCONSUMP,PIG,KG_CAP,A,2013,16.1607196247918
CHN,MEATCONSUMP,PIG,THND_TONNE,A,2018,55218.9095223071
SAU,MEATCONSUMP,PIG,KG_CAP,A,2019,0.498059463842157
PHL,MEATCONSUMP,PIG,THND_TONNE,A,2013,1791.47910390625
EU27,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,9103.46802293116
SAU,MEATCONSUMP,SHEEP,KG_CAP,A,2011,5.37844516133984
IND,MEATCONSUMP,SHEEP,THND_TONNE,A,2007,791.771157128906
CHE,MEATCONSUMP,POULTRY,KG_CAP,A,2023,14.5382128091658
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,2002,15.3394191009275
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,1996,9.74581994359628
ARG,MEATCONSUMP,PIG,KG_CAP,A,1993,4.83072730058826
BRA,MEATCONSUMP,SHEEP,KG_CAP,A,2002,0.496285403011978
THA,MEATCONSUMP,SHEEP,KG_CAP,A,1992,0.025729987160841
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,1993,2.0297745913997
CHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2012,623.237099511719
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2000,11.0465333712469
KAZ,MEATCONSUMP,PIG,KG_CAP,A,2024,4.63954962479455
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,1997,54.704233
MYS,MEATCONSUMP,POULTRY,THND_TONNE,A,2014,1590.54721914063
KAZ,MEATCONSUMP,BEEF,KG_CAP,A,2020,19.7259950174568
CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,12.7780997967384
RUS,MEATCONSUMP,BEEF,KG_CAP,A,1994,17.9467130169622
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2015,4.55408129104555
CHN,MEATCONSUMP,POULTRY,THND_TONNE,A,2012,18119.707924707
UKR,MEATCONSUMP,BEEF,THND_TONNE,A,2009,446.565102441406
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2025,2.11506445481855
KAZ,MEATCONSUMP,SHEEP,KG_CAP,A,2022,8.57619560227396
SAU,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,172.968636376953
ETH,MEATCONSUMP,PIG,THND_TONNE,A,2016,2.04810009727478
TUR,MEATCONSUMP,SHEEP,KG_CAP,A,2016,4.50391164657727
USA,MEATCONSUMP,SHEEP,THND_TONNE,A,2009,153.590741471093
OECD,MEATCONSUMP,PIG,KG_CAP,A,2002,23.4036493253032
EGY,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,140.604996502743
CHE,MEATCONSUMP,POULTRY,THND_TONNE,A,1994,79.7601011229515
CHN,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,2704.65000234375
CHN,MEATCONSUMP,BEEF,THND_TONNE,A,2028,8393.42350867567
ZAF,MEATCONSUMP,BEEF,THND_TONNE,A,1995,591.0001
AUS,MEATCONSUMP,PIG,THND_TONNE,A,2015,671.964197
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2025,1.99157843213293
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2008,0.522588983372759
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2020,2.01476165510888
IDN,MEATCONSUMP,BEEF,KG_CAP,A,1999,1.2893924611359
IND,MEATCONSUMP,SHEEP,THND_TONNE,A,2015,708.951149804688
WLD,MEATCONSUMP,PIG,KG_CAP,A,2008,11.9785952555903
NOR,MEATCONSUMP,PIG,THND_TONNE,A,2024,144.337972486327
PHL,MEATCONSUMP,BEEF,KG_CAP,A,1995,2.11749047447094
PAK,MEATCONSUMP,POULTRY,KG_CAP,A,2005,2.2260090747221
OECD,MEATCONSUMP,BEEF,THND_TONNE,A,2007,27974.7858354561
TUR,MEATCONSUMP,BEEF,KG_CAP,A,1990,4.95487649291453
PRY,MEATCONSUMP,POULTRY,THND_TONNE,A,2022,42.9020840129393
MEX,MEATCONSUMP,BEEF,THND_TONNE,A,1998,1507.1221804715
THA,MEATCONSUMP,POULTRY,THND_TONNE,A,2006,677.174111230469
PAK,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,478.615120751953
KAZ,MEATCONSUMP,SHEEP,THND_TONNE,A,1994,239.800103051758
PAK,MEATCONSUMP,SHEEP,KG_CAP,A,2011,2.15916077296645
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2020,1708.78684670189
COL,MEATCONSUMP,POULTRY,KG_CAP,A,2026,35.2634211489575
PAK,MEATCONSUMP,PIG,THND_TONNE,A,2026,0.001
OECD,MEATCONSUMP,PIG,KG_CAP,A,2023,23.6753555425724
IDN,MEATCONSUMP,PIG,THND_TONNE,A,2027,383.421629223897
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,1993,15.3783050745895
JPN,MEATCONSUMP,POULTRY,KG_CAP,A,1993,11.9522768202148
KOR,MEATCONSUMP,BEEF,THND_TONNE,A,2026,871.302671290731
NZL,MEATCONSUMP,BEEF,THND_TONNE,A,1994,108.816998860339
WLD,MEATCONSUMP,BEEF,KG_CAP,A,1992,5.74448531344943
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2025,2.49559489599956
TUR,MEATCONSUMP,POULTRY,THND_TONNE,A,2016,1601.65305410156
NZL,MEATCONSUMP,POULTRY,THND_TONNE,A,2003,142.041903
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,2026,29.8608179084366
BRA,MEATCONSUMP,PIG,KG_CAP,A,2022,12.7179108130764
KAZ,MEATCONSUMP,SHEEP,THND_TONNE,A,2012,154.358101708984
UKR,MEATCONSUMP,PIG,KG_CAP,A,1999,10.1071448032852
IRN,MEATCONSUMP,POULTRY,KG_CAP,A,2008,18.9305462965357
TUR,MEATCONSUMP,PIG,KG_CAP,A,2023,1.7180507145e-06
CHE,MEATCONSUMP,POULTRY,KG_CAP,A,2019,14.30701789114
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1999,27.9816648400942
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,2026,38.6145610709086
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2006,720.632119042969
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,1996,0.663371832925463
TUR,MEATCONSUMP,BEEF,THND_TONNE,A,2006,346.097115380859
PRY,MEATCONSUMP,PIG,KG_CAP,A,2010,20.2816706197001
GBR,MEATCONSUMP,SHEEP,THND_TONNE,A,1995,0.0001
COL,MEATCONSUMP,PIG,KG_CAP,A,1999,2.22302271544115
ISR,MEATCONSUMP,POULTRY,KG_CAP,A,2016,68.102069625408
GBR,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,0.0001
UKR,MEATCONSUMP,BEEF,KG_CAP,A,2004,8.00422629329476
MYS,MEATCONSUMP,BEEF,KG_CAP,A,2026,6.00202603635737
WLD,MEATCONSUMP,SHEEP,THND_TONNE,A,2008,13100.6037236279
OECD,MEATCONSUMP,BEEF,THND_TONNE,A,2010,27005.9603549148
USA,MEATCONSUMP,SHEEP,KG_CAP,A,2004,0.508374044468133
IDN,MEATCONSUMP,POULTRY,KG_CAP,A,2002,4.46136281923744
BRICS,MEATCONSUMP,BEEF,THND_TONNE,A,1991,8559.0640584421
CHE,MEATCONSUMP,BEEF,THND_TONNE,A,2002,154.501014219055
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2019,12.0894899527381
MYS,MEATCONSUMP,POULTRY,THND_TONNE,A,2000,739.387123925781
IDN,MEATCONSUMP,PIG,KG_CAP,A,2020,1.00886895657205
PHL,MEATCONSUMP,BEEF,KG_CAP,A,2028,3.28822584617298
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2016,9.28438037522826
COL,MEATCONSUMP,POULTRY,KG_CAP,A,2006,17.7810091100963
COL,MEATCONSUMP,SHEEP,THND_TONNE,A,1992,12.3091000152588
PAK,MEATCONSUMP,PIG,THND_TONNE,A,2002,0.0011000000474974
MEX,MEATCONSUMP,POULTRY,THND_TONNE,A,2008,3087.07126878
JPN,MEATCONSUMP,SHEEP,KG_CAP,A,2015,0.127247451501212
THA,MEATCONSUMP,PIG,KG_CAP,A,2012,10.6191180077819
EGY,MEATCONSUMP,SHEEP,KG_CAP,A,2028,1.15787934779286
BRICS,MEATCONSUMP,PIG,THND_TONNE,A,2021,64211.1356531728
MEX,MEATCONSUMP,PIG,THND_TONNE,A,1998,1041.897474
KOR,MEATCONSUMP,PIG,KG_CAP,A,2021,31.0749359398423
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2028,2.46117171583637
UKR,MEATCONSUMP,SHEEP,THND_TONNE,A,2017,13.5031002593994
PER,MEATCONSUMP,PIG,THND_TONNE,A,2010,120.157097680664
IRN,MEATCONSUMP,SHEEP,KG_CAP,A,1990,5.51700414599154
MYS,MEATCONSUMP,BEEF,THND_TONNE,A,2006,180.947090966797
BRICS,MEATCONSUMP,BEEF,THND_TONNE,A,1996,15529.2678265251
CAN,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,1105.84728
IDN,MEATCONSUMP,PIG,THND_TONNE,A,2015,335.746102197266
ZAF,MEATCONSUMP,POULTRY,THND_TONNE,A,1999,800.037087304688
NOR,MEATCONSUMP,SHEEP,KG_CAP,A,1997,5.00218474479323
KOR,MEATCONSUMP,BEEF,KG_CAP,A,1994,5.64822055262093
ISR,MEATCONSUMP,PIG,KG_CAP,A,1994,1.31222682925705
WLD,MEATCONSUMP,PIG,KG_CAP,A,1996,7.82519879389381
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2013,11.3747565223542
OECD,MEATCONSUMP,BEEF,KG_CAP,A,2006,15.550478467363
KOR,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,18.999100252363
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2015,11.6810700479506
IND,MEATCONSUMP,BEEF,THND_TONNE,A,2028,1176.35638686901
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2027,7.70434669886235
SAU,MEATCONSUMP,PIG,KG_CAP,A,2014,0.200218798965205
SAU,MEATCONSUMP,POULTRY,KG_CAP,A,2024,33.2100291824879
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2002,150.610100610352
CHN,MEATCONSUMP,BEEF,THND_TONNE,A,2011,6054.4776390625
COL,MEATCONSUMP,PIG,THND_TONNE,A,1994,136.162087304688
OECD,MEATCONSUMP,BEEF,KG_CAP,A,1996,10.8039301645939
EU27,MEATCONSUMP,POULTRY,KG_CAP,A,1992,2.081912014e-07
UKR,MEATCONSUMP,POULTRY,KG_CAP,A,2021,23.1749699351173
IDN,MEATCONSUMP,PIG,THND_TONNE,A,2004,194.244088037109
VNM,MEATCONSUMP,BEEF,KG_CAP,A,2013,8.45278306714248
EU27,MEATCONSUMP,SHEEP,KG_CAP,A,2000,2.3237718428937
COL,MEATCONSUMP,BEEF,KG_CAP,A,1994,12.3191042365802
ETH,MEATCONSUMP,PIG,THND_TONNE,A,2010,1.818099958992
ISR,MEATCONSUMP,SHEEP,THND_TONNE,A,2021,16.6167754458168
NGA,MEATCONSUMP,POULTRY,THND_TONNE,A,2014,196.592095239258
IRN,MEATCONSUMP,PIG,THND_TONNE,A,2007,0.187100006437302
EGY,MEATCONSUMP,BEEF,THND_TONNE,A,2025,1361.14904270493
NOR,MEATCONSUMP,POULTRY,THND_TONNE,A,1993,23.0880996940494
BRA,MEATCONSUMP,PIG,THND_TONNE,A,2003,2234.046193
ETH,MEATCONSUMP,PIG,KG_CAP,A,1998,0.0173541313062532
PAK,MEATCONSUMP,BEEF,KG_CAP,A,1997,4.48357561457469
CHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2014,9.51710019836426
IND,MEATCONSUMP,SHEEP,THND_TONNE,A,2011,753.881142480469
NGA,MEATCONSUMP,PIG,KG_CAP,A,1996,0.973661506181261
ETH,MEATCONSUMP,SHEEP,KG_CAP,A,1999,0.835823628353864
THA,MEATCONSUMP,POULTRY,THND_TONNE,A,2016,695.088112695313
MEX,MEATCONSUMP,BEEF,THND_TONNE,A,2027,1816.51499098604
NGA,MEATCONSUMP,BEEF,THND_TONNE,A,2028,481.669820062154
RUS,MEATCONSUMP,POULTRY,THND_TONNE,A,2018,5140.30883495325
CAN,MEATCONSUMP,SHEEP,THND_TONNE,A,2002,32.3701
IND,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,756.890185130043
PHL,MEATCONSUMP,SHEEP,KG_CAP,A,2000,0.386453149734432
AUS,MEATCONSUMP,BEEF,THND_TONNE,A,2002,700.181406
NZL,MEATCONSUMP,POULTRY,THND_TONNE,A,1997,89.1221
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,2015,27.1224961813577
NOR,MEATCONSUMP,SHEEP,KG_CAP,A,2000,4.77811373699348
ARG,MEATCONSUMP,PIG,KG_CAP,A,2008,5.88820928845988
BRA,MEATCONSUMP,PIG,THND_TONNE,A,2016,3092.897942
PAK,MEATCONSUMP,SHEEP,THND_TONNE,A,2014,461.182076318359
IND,MEATCONSUMP,POULTRY,KG_CAP,A,2009,1.53616873258535
THA,MEATCONSUMP,POULTRY,KG_CAP,A,2009,8.36837344786675
PER,MEATCONSUMP,PIG,KG_CAP,A,2028,4.78368055115867
CHL,MEATCONSUMP,SHEEP,THND_TONNE,A,1996,11.6691006256104
EU27,MEATCONSUMP,PIG,THND_TONNE,A,2022,20026.0384591233
IDN,MEATCONSUMP,POULTRY,KG_CAP,A,2018,7.56510548022657
MYS,MEATCONSUMP,POULTRY,THND_TONNE,A,2027,2119.06965844372
NOR,MEATCONSUMP,BEEF,KG_CAP,A,2002,14.2082931598794
CHE,MEATCONSUMP,POULTRY,THND_TONNE,A,2009,123.485094381666
PHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2025,71.224318752505
KAZ,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,194.536117490911
USA,MEATCONSUMP,SHEEP,THND_TONNE,A,2019,167.670963638274
JPN,MEATCONSUMP,BEEF,THND_TONNE,A,1998,1486.62867142857
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2018,1575.13022695313
COL,MEATCONSUMP,SHEEP,THND_TONNE,A,2019,8.15415941534255
ARG,MEATCONSUMP,POULTRY,KG_CAP,A,1999,22.9273719655951
ETH,MEATCONSUMP,POULTRY,THND_TONNE,A,2004,47.1101006103516
PHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2001,34.1390999389648
NZL,MEATCONSUMP,POULTRY,KG_CAP,A,1993,16.8373387976425
VNM,MEATCONSUMP,SHEEP,THND_TONNE,A,2016,12.8691004348755
PHL,MEATCONSUMP,SHEEP,THND_TONNE,A,2007,50.1370972229004
IDN,MEATCONSUMP,PIG,KG_CAP,A,1990,2.35101666714104
IND,MEATCONSUMP,SHEEP,KG_CAP,A,2000,0.566501298058724
KAZ,MEATCONSUMP,BEEF,THND_TONNE,A,2015,495.578102929688
MEX,MEATCONSUMP,BEEF,KG_CAP,A,2014,8.97862302472614
IDN,MEATCONSUMP,BEEF,KG_CAP,A,1996,1.46043727808909
BRA,MEATCONSUMP,PIG,THND_TONNE,A,2019,3341.42742038242
MYS,MEATCONSUMP,PIG,THND_TONNE,A,2007,202.1670921875
ZAF,MEATCONSUMP,POULTRY,KG_CAP,A,2006,22.5735970182949
NGA,MEATCONSUMP,PIG,KG_CAP,A,2025,0.970350198669091
GBR,MEATCONSUMP,PIG,THND_TONNE,A,2019,1462.0604133874
EU27,MEATCONSUMP,POULTRY,THND_TONNE,A,2026,12041.4002379727
OECD,MEATCONSUMP,BEEF,THND_TONNE,A,2015,26099.0226402066
MYS,MEATCONSUMP,PIG,KG_CAP,A,1992,10.4893570967326
KOR,MEATCONSUMP,POULTRY,THND_TONNE,A,2001,569.778107745743
PHL,MEATCONSUMP,BEEF,THND_TONNE,A,1990,138.689110620117
ARG,MEATCONSUMP,SHEEP,THND_TONNE,A,2023,51.3338500204009
IDN,MEATCONSUMP,BEEF,THND_TONNE,A,2003,421.621102197266
IND,MEATCONSUMP,SHEEP,KG_CAP,A,2001,0.566455847103644
IDN,MEATCONSUMP,POULTRY,THND_TONNE,A,2016,2346.18906484375
BRICS,MEATCONSUMP,SHEEP,KG_CAP,A,2026,1.85468024373777
TUR,MEATCONSUMP,SHEEP,THND_TONNE,A,1990,362.888100488281
MYS,MEATCONSUMP,PIG,KG_CAP,A,2020,5.31292578712448
ARG,MEATCONSUMP,PIG,KG_CAP,A,2026,11.9935043970854
OECD,MEATCONSUMP,PIG,THND_TONNE,A,2020,41044.5089322866
JPN,MEATCONSUMP,SHEEP,KG_CAP,A,2019,0.16104806457323
BRA,MEATCONSUMP,SHEEP,THND_TONNE,A,2028,137.839932553667
CAN,MEATCONSUMP,SHEEP,KG_CAP,A,2027,0.911058456130527
IRN,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,944.172158105469
MYS,MEATCONSUMP,BEEF,KG_CAP,A,1990,2.58364810267205
PHL,MEATCONSUMP,POULTRY,THND_TONNE,A,2001,627.299111230469
CHN,MEATCONSUMP,PIG,KG_CAP,A,2022,30.8850938662903
CHE,MEATCONSUMP,POULTRY,THND_TONNE,A,2000,91.8681011928082
OECD,MEATCONSUMP,POULTRY,THND_TONNE,A,1997,18956.3125450958
EU27,MEATCONSUMP,BEEF,KG_CAP,A,2011,10.9359708875843
PER,MEATCONSUMP,SHEEP,THND_TONNE,A,2014,40.5931023193359
CHL,MEATCONSUMP,PIG,KG_CAP,A,2028,22.0749163036934
BRICS,MEATCONSUMP,POULTRY,KG_CAP,A,1994,4.38153842626701
IDN,MEATCONSUMP,BEEF,KG_CAP,A,1997,1.49169961013952
EGY,MEATCONSUMP,POULTRY,KG_CAP,A,2023,12.8480969347039
USA,MEATCONSUMP,PIG,THND_TONNE,A,1995,8059.43891485245
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2019,7.43955698794546
IRN,MEATCONSUMP,BEEF,KG_CAP,A,2016,5.2426438078116
AUS,MEATCONSUMP,BEEF,THND_TONNE,A,2018,669.2283215
IRN,MEATCONSUMP,PIG,KG_CAP,A,2018,0.017120452012227
THA,MEATCONSUMP,POULTRY,KG_CAP,A,2008,8.33383414560729
IDN,MEATCONSUMP,SHEEP,KG_CAP,A,2008,0.42387801156896
PAK,MEATCONSUMP,POULTRY,THND_TONNE,A,2021,1458.82708990472
PER,MEATCONSUMP,PIG,KG_CAP,A,2016,3.91411295587849
MYS,MEATCONSUMP,PIG,KG_CAP,A,2002,6.80522504614888
MYS,MEATCONSUMP,POULTRY,THND_TONNE,A,1995,705.10410390625
KOR,MEATCONSUMP,BEEF,THND_TONNE,A,2002,575.703823707812
WLD,MEATCONSUMP,POULTRY,KG_CAP,A,2014,13.5856384750809
BRICS,MEATCONSUMP,SHEEP,THND_TONNE,A,2000,3756.79820342294
SAU,MEATCONSUMP,POULTRY,THND_TONNE,A,2024,1389.12018048261
COL,MEATCONSUMP,BEEF,KG_CAP,A,2017,10.5044213243395
PAK,MEATCONSUMP,PIG,KG_CAP,A,2006,0.0009538111022812
EU27,MEATCONSUMP,SHEEP,THND_TONNE,A,1991,0.0001
CHN,MEATCONSUMP,PIG,THND_TONNE,A,2010,51438.3367166329
KOR,MEATCONSUMP,POULTRY,KG_CAP,A,2027,19.9119807663824
MEX,MEATCONSUMP,BEEF,KG_CAP,A,1993,8.30997865946732
GBR,MEATCONSUMP,POULTRY,KG_CAP,A,2011,24.6102831068358
CHL,MEATCONSUMP,BEEF,THND_TONNE,A,2002,333.040078027344
TUR,MEATCONSUMP,PIG,KG_CAP,A,2010,2.0490297835e-06
SAU,MEATCONSUMP,POULTRY,KG_CAP,A,2002,34.6650735648888
WLD,MEATCONSUMP,BEEF,THND_TONNE,A,1990,38607.7659197535
JPN,MEATCONSUMP,PIG,THND_TONNE,A,2016,2518.73724285714
ARG,MEATCONSUMP,PIG,THND_TONNE,A,1994,213.3261
CHE,MEATCONSUMP,SHEEP,THND_TONNE,A,1999,12.7610102267121
EGY,MEATCONSUMP,PIG,THND_TONNE,A,2008,2.15509997138977
SAU,MEATCONSUMP,SHEEP,KG_CAP,A,2006,5.28376987775834
NOR,MEATCONSUMP,PIG,THND_TONNE,A,1990,83.7921863792346
PER,MEATCONSUMP,SHEEP,KG_CAP,A,2014,1.15331166910923
MYS,MEATCONSUMP,POULTRY,KG_CAP,A,2004,32.6150572959694
RUS,MEATCONSUMP,BEEF,KG_CAP,A,1992,20.1944009839667
PRY,MEATCONSUMP,PIG,THND_TONNE,A,2019,191.141523274769
IDN,MEATCONSUMP,POULTRY,THND_TONNE,A,2010,1566.127053125
OECD,MEATCONSUMP,SHEEP,THND_TONNE,A,2027,2139.77170882341
IRN,MEATCONSUMP,POULTRY,THND_TONNE,A,2008,1567.05210195313
WLD,MEATCONSUMP,SHEEP,KG_CAP,A,2025,1.77121067019764
PRY,MEATCONSUMP,SHEEP,THND_TONNE,A,2022,4.08229812385172
KAZ,MEATCONSUMP,PIG,KG_CAP,A,1999,5.00842864177374
CAN,MEATCONSUMP,POULTRY,THND_TONNE,A,2013,1217.45099666974
CHE,MEATCONSUMP,BEEF,KG_CAP,A,2011,15.8955129618543
IDN,MEATCONSUMP,BEEF,THND_TONNE,A,2019,763.907039766821
UKR,MEATCONSUMP,POULTRY,THND_TONNE,A,2008,1072.68100820313
MEX,MEATCONSUMP,SHEEP,THND_TONNE,A,2024,82.3617997055068
TUR,MEATCONSUMP,PIG,KG_CAP,A,2019,1.7780931028e-06
PER,MEATCONSUMP,SHEEP,THND_TONNE,A,2004,40.2120979858398
BRICS,MEATCONSUMP,POULTRY,THND_TONNE,A,1993,11042.0689111753
CHL,MEATCONSUMP,SHEEP,KG_CAP,A,1994,0.786432606563032
EGY,MEATCONSUMP,PIG,KG_CAP,A,2006,0.0290617407030696
NZL,MEATCONSUMP,POULTRY,KG_CAP,A,2011,29.5182370816354
USA,MEATCONSUMP,PIG,KG_CAP,A,2017,22.9373338418654
USA,MEATCONSUMP,BEEF,KG_CAP,A,2007,29.904037926771
MEX,MEATCONSUMP,POULTRY,KG_CAP,A,2013,26.0450891006542
MYS,MEATCONSUMP,SHEEP,KG_CAP,A,1999,0.552443985275496
ISR,MEATCONSUMP,PIG,THND_TONNE,A,2011,18.9081009460449
COL,MEATCONSUMP,POULTRY,KG_CAP,A,2000,11.6969537789896
ZAF,MEATCONSUMP,PIG,KG_CAP,A,2010,3.51901374571075
VNM,MEATCONSUMP,BEEF,THND_TONNE,A,2021,1413.0775752032
IDN,MEATCONSUMP,BEEF,KG_CAP,A,2013,1.68659276725636
TUR,MEATCONSUMP,BEEF,KG_CAP,A,2013,7.73121379839701
PRY,MEATCONSUMP,POULTRY,KG_CAP,A,1994,5.83770663149588
JPN,MEATCONSUMP,BEEF,THND_TONNE,A,2011,1233.99438571429
PRY,MEATCONSUMP,POULTRY,THND_TONNE,A,2018,41.3861015869141
BRA,MEATCONSUMP,POULTRY,THND_TONNE,A,2024,9945.630169706
JPN,MEATCONSUMP,BEEF,THND_TONNE,A,2025,1354.59914885591
ETH,MEATCONSUMP,BEEF,KG_CAP,A,2001,3.10185231509685
UKR,MEATCONSUMP,SHEEP,KG_CAP,A,2007,0.290259668641511
BRA,MEATCONSUMP,BEEF,KG_CAP,A,2018,24.4725008239042
NGA,MEATCONSUMP,PIG,THND_TONNE,A,2001,165.3751
PER,MEATCONSUMP,PIG,KG_CAP,A,2015,3.81360783546705
PRY,MEATCONSUMP,PIG,KG_CAP,A,2001,20.7088889640583
THA,MEATCONSUMP,PIG,THND_TONNE,A,2012,923.64511953125
SAU,MEATCONSUMP,POULTRY,THND_TONNE,A,2002,862.93613515625
WLD,MEATCONSUMP,SHEEP,THND_TONNE,A,2028,17009.4195541353
TUR,MEATCONSUMP,POULTRY,KG_CAP,A,2028,21.7299706833915
PER,MEATCONSUMP,POULTRY,KG_CAP,A,2009,29.7373880517527
VNM,MEATCONSUMP,SHEEP,THND_TONNE,A,1993,2.64810000190735
CAN,MEATCONSUMP,SHEEP,THND_TONNE,A,1991,24.3301
BRICS,MEATCONSUMP,SHEEP,THND_TONNE,A,2012,5363.95734712443
TUR,MEATCONSUMP,PIG,THND_TONNE,A,2002,0.0460999889135361
CHE,MEATCONSUMP,PIG,THND_TONNE,A,2026,256.7001
EGY,MEATCONSUMP,BEEF,THND_TONNE,A,2001,654.327126367188
PRY,MEATCONSUMP,BEEF,KG_CAP,A,2003,22.7017844417654
NGA,MEATCONSUMP,BEEF,KG_CAP,A,2001,1.77520473064862
